# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_BottomJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.534900e+04	1.880133e+02	1.880133e+02
1.000000e+00	2.000000e+00	2.789400e+04	1.670150e+02	1.670150e+02
2.000000e+00	3.000000e+00	4.563500e+04	2.136235e+02	2.136235e+02
3.000000e+00	4.000000e+00	4.890800e+04	2.211515e+02	2.211515e+02
4.000000e+00	5.000000e+00	3.949700e+04	1.987385e+02	1.987385e+02
5.000000e+00	6.000000e+00	2.280200e+04	1.510033e+02	1.510033e+02
6.000000e+00	7.000000e+00	1.355300e+04	1.164174e+02	1.164174e+02
7.000000e+00	8.000000e+00	6.811000e+03	8.252878e+01	8.252878e+01
8.000000e+00	9.000000e+00	3.426000e+03	5.853204e+01	5.853204e+01
9.000000e+00	1.000000e+01	1.528000e+03	3.908964e+01	3.908964e+01
1.000000e+01	1.100000e+01	7.370000e+02	2.714774e+01	2.714774e+01
1.100000e+01	1.200000e+01	2.550000e+02	1.596872e+01	1.596872e+01
1.200000e+01	1.300000e+01	1.030000e+02	1.014889e+01	1.014889e+01
1.300000e+01	1.400000e+01	4.400000e+01	6.633250e+00	6.633250e+00
1.400000e+01	1.500000e+01	1.500000e+01	3.872983e+00	3.872983e+00
1.500000e+01	1.600000e+01	5.000000e+00	2.236068e+00	2.236068e+00
1.600000e+01	1.700000e+01	2.000000e+00	1.414214e+00	1.414214e+00
1.700000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

