# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_LightJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_LightJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	7.709430e+05	8.780336e+02	8.780336e+02
1.000000e+00	2.000000e+00	2.674900e+04	1.635512e+02	1.635512e+02
2.000000e+00	3.000000e+00	1.120800e+04	1.058678e+02	1.058678e+02
3.000000e+00	4.000000e+00	5.524000e+03	7.432362e+01	7.432362e+01
4.000000e+00	5.000000e+00	4.595000e+03	6.778643e+01	6.778643e+01
5.000000e+00	6.000000e+00	3.441000e+03	5.866004e+01	5.866004e+01
6.000000e+00	7.000000e+00	2.402000e+03	4.901020e+01	4.901020e+01
7.000000e+00	8.000000e+00	1.561000e+03	3.950949e+01	3.950949e+01
8.000000e+00	9.000000e+00	9.540000e+02	3.088689e+01	3.088689e+01
9.000000e+00	1.000000e+01	5.770000e+02	2.402082e+01	2.402082e+01
1.000000e+01	1.100000e+01	2.740000e+02	1.655295e+01	1.655295e+01
1.100000e+01	1.200000e+01	1.320000e+02	1.148913e+01	1.148913e+01
1.200000e+01	1.300000e+01	6.400000e+01	8.000000e+00	8.000000e+00
1.300000e+01	1.400000e+01	3.300000e+01	5.744563e+00	5.744563e+00
1.400000e+01	1.500000e+01	1.100000e+01	3.316625e+00	3.316625e+00
1.500000e+01	1.600000e+01	6.000000e+00	2.449490e+00	2.449490e+00
1.600000e+01	1.700000e+01	3.000000e+00	1.732051e+00	1.732051e+00
1.700000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	1.000000e+00	1.000000e+00	1.000000e+00
1.900000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

