# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_BottomJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.370200e+05	1.784685e+03	1.784685e+03
2.000000e-01	4.000000e-01	4.095000e+04	4.524931e+02	4.524931e+02
4.000000e-01	6.000000e-01	1.140000e+03	7.549834e+01	7.549834e+01
6.000000e-01	8.000000e-01	1.203500e+05	7.757255e+02	7.757255e+02
8.000000e-01	1.000000e+00	1.533900e+05	8.757568e+02	8.757568e+02
1.000000e+00	1.200000e+00	1.183900e+05	7.693829e+02	7.693829e+02
1.200000e+00	1.400000e+00	9.551500e+04	6.910680e+02	6.910680e+02
1.400000e+00	1.600000e+00	7.432500e+04	6.096105e+02	6.096105e+02
1.600000e+00	1.800000e+00	4.539500e+04	4.764189e+02	4.764189e+02
1.800000e+00	2.000000e+00	5.474000e+04	5.231635e+02	5.231635e+02
2.000000e+00	2.200000e+00	9.690000e+03	2.201136e+02	2.201136e+02
2.200000e+00	2.400000e+00	7.310000e+03	1.911805e+02	1.911805e+02
2.400000e+00	2.600000e+00	3.265000e+03	1.277693e+02	1.277693e+02
2.600000e+00	2.800000e+00	2.070000e+03	1.017349e+02	1.017349e+02
2.800000e+00	3.000000e+00	1.240000e+03	7.874008e+01	7.874008e+01
3.000000e+00	3.200000e+00	1.090000e+03	7.382412e+01	7.382412e+01
3.200000e+00	3.400000e+00	5.350000e+02	5.172040e+01	5.172040e+01
3.400000e+00	3.600000e+00	3.500000e+02	4.183300e+01	4.183300e+01
3.600000e+00	3.800000e+00	3.400000e+02	4.123106e+01	4.123106e+01
3.800000e+00	4.000000e+00	3.000000e+02	3.872983e+01	3.872983e+01
4.000000e+00	4.200000e+00	2.750000e+02	3.708099e+01	3.708099e+01
4.200000e+00	4.400000e+00	1.950000e+02	3.122499e+01	3.122499e+01
4.400000e+00	4.600000e+00	1.250000e+02	2.500000e+01	2.500000e+01
4.600000e+00	4.800000e+00	1.450000e+02	2.692582e+01	2.692582e+01
4.800000e+00	5.000000e+00	8.000000e+01	2.000000e+01	2.000000e+01
5.000000e+00	5.200000e+00	5.500000e+01	1.658312e+01	1.658312e+01
5.200000e+00	5.400000e+00	8.500000e+01	2.061553e+01	2.061553e+01
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	5.000000e+00	5.000000e+00	5.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

