# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_LightJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_LightJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.215000e+05	5.670097e+03	5.670097e+03
1.000000e-02	2.000000e-02	9.186000e+05	9.584362e+03	9.584362e+03
2.000000e-02	3.000000e-02	1.324700e+06	1.150956e+04	1.150956e+04
3.000000e-02	4.000000e-02	1.533700e+06	1.238426e+04	1.238426e+04
4.000000e-02	5.000000e-02	1.612200e+06	1.269724e+04	1.269724e+04
5.000000e-02	6.000000e-02	1.579000e+06	1.256583e+04	1.256583e+04
6.000000e-02	7.000000e-02	1.487900e+06	1.219795e+04	1.219795e+04
7.000000e-02	8.000000e-02	1.376700e+06	1.173329e+04	1.173329e+04
8.000000e-02	9.000000e-02	1.225800e+06	1.107159e+04	1.107159e+04
9.000000e-02	1.000000e-01	1.078100e+06	1.038316e+04	1.038316e+04
1.000000e-01	1.100000e-01	9.487000e+05	9.740123e+03	9.740123e+03
1.100000e-01	1.200000e-01	8.252000e+05	9.084052e+03	9.084052e+03
1.200000e-01	1.300000e-01	7.395000e+05	8.599419e+03	8.599419e+03
1.300000e-01	1.400000e-01	6.427000e+05	8.016857e+03	8.016857e+03
1.400000e-01	1.500000e-01	5.629000e+05	7.502666e+03	7.502666e+03
1.500000e-01	1.600000e-01	4.980000e+05	7.056912e+03	7.056912e+03
1.600000e-01	1.700000e-01	4.440000e+05	6.663332e+03	6.663332e+03
1.700000e-01	1.800000e-01	3.899000e+05	6.244197e+03	6.244197e+03
1.800000e-01	1.900000e-01	3.622000e+05	6.018305e+03	6.018305e+03
1.900000e-01	2.000000e-01	3.315000e+05	5.757604e+03	5.757604e+03
2.000000e-01	2.100000e-01	2.944000e+05	5.425864e+03	5.425864e+03
2.100000e-01	2.200000e-01	2.693000e+05	5.189412e+03	5.189412e+03
2.200000e-01	2.300000e-01	2.454000e+05	4.953786e+03	4.953786e+03
2.300000e-01	2.400000e-01	2.360000e+05	4.857983e+03	4.857983e+03
2.400000e-01	2.500000e-01	2.120000e+05	4.604346e+03	4.604346e+03
2.500000e-01	2.600000e-01	1.924000e+05	4.386342e+03	4.386342e+03
2.600000e-01	2.700000e-01	1.849000e+05	4.300000e+03	4.300000e+03
2.700000e-01	2.800000e-01	1.714000e+05	4.140048e+03	4.140048e+03
