# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_BottomJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	2.000000e-03	4.700000e+05	2.167948e+04	2.167948e+04
2.000000e-03	3.000000e-03	1.052700e+07	1.026012e+05	1.026012e+05
3.000000e-03	4.000000e-03	3.466000e+07	1.861720e+05	1.861720e+05
4.000000e-03	5.000000e-03	5.052100e+07	2.247688e+05	2.247688e+05
5.000000e-03	6.000000e-03	5.570300e+07	2.360148e+05	2.360148e+05
6.000000e-03	7.000000e-03	5.714100e+07	2.390418e+05	2.390418e+05
7.000000e-03	8.000000e-03	5.722300e+07	2.392133e+05	2.392133e+05
8.000000e-03	9.000000e-03	5.631100e+07	2.372994e+05	2.372994e+05
9.000000e-03	1.000000e-02	5.541300e+07	2.353997e+05	2.353997e+05
1.000000e-02	1.100000e-02	5.644900e+07	2.375900e+05	2.375900e+05
1.100000e-02	1.200000e-02	5.558000e+07	2.357541e+05	2.357541e+05
1.200000e-02	1.300000e-02	5.461400e+07	2.336964e+05	2.336964e+05
1.300000e-02	1.400000e-02	5.256600e+07	2.292728e+05	2.292728e+05
1.400000e-02	1.500000e-02	5.054000e+07	2.248110e+05	2.248110e+05
1.500000e-02	1.600000e-02	4.670700e+07	2.161180e+05	2.161180e+05
1.600000e-02	1.700000e-02	4.214500e+07	2.052925e+05	2.052925e+05
1.700000e-02	1.800000e-02	3.827700e+07	1.956451e+05	1.956451e+05
1.800000e-02	1.900000e-02	3.391400e+07	1.841575e+05	1.841575e+05
1.900000e-02	2.000000e-02	3.054100e+07	1.747598e+05	1.747598e+05
2.000000e-02	2.100000e-02	2.611300e+07	1.615952e+05	1.615952e+05
2.100000e-02	2.200000e-02	2.311800e+07	1.520460e+05	1.520460e+05
2.200000e-02	2.300000e-02	2.005800e+07	1.416263e+05	1.416263e+05
2.300000e-02	2.400000e-02	1.710900e+07	1.308014e+05	1.308014e+05
2.400000e-02	2.500000e-02	1.510500e+07	1.229024e+05	1.229024e+05
2.500000e-02	2.600000e-02	1.306500e+07	1.143022e+05	1.143022e+05
2.600000e-02	2.700000e-02	1.163800e+07	1.078796e+05	1.078796e+05
