# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_AllJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	8.351000e+05	9.138381e+03	9.138381e+03
1.000000e-02	2.000000e-02	2.328500e+06	1.525942e+04	1.525942e+04
2.000000e-02	3.000000e-02	3.355200e+06	1.831721e+04	1.831721e+04
3.000000e-02	4.000000e-02	3.860300e+06	1.964765e+04	1.964765e+04
4.000000e-02	5.000000e-02	4.065200e+06	2.016234e+04	2.016234e+04
5.000000e-02	6.000000e-02	3.933400e+06	1.983280e+04	1.983280e+04
6.000000e-02	7.000000e-02	3.743300e+06	1.934761e+04	1.934761e+04
7.000000e-02	8.000000e-02	3.423400e+06	1.850243e+04	1.850243e+04
8.000000e-02	9.000000e-02	3.077300e+06	1.754223e+04	1.754223e+04
9.000000e-02	1.000000e-01	2.735400e+06	1.653904e+04	1.653904e+04
1.000000e-01	1.100000e-01	2.433500e+06	1.559968e+04	1.559968e+04
1.100000e-01	1.200000e-01	2.141000e+06	1.463216e+04	1.463216e+04
1.200000e-01	1.300000e-01	1.929300e+06	1.388992e+04	1.388992e+04
1.300000e-01	1.400000e-01	1.702200e+06	1.304684e+04	1.304684e+04
