# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_BottomJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.406835e+06	4.694057e+03	4.694057e+03
2.000000e-01	4.000000e-01	4.591750e+05	1.515215e+03	1.515215e+03
4.000000e-01	6.000000e-01	1.801200e+05	9.489995e+02	9.489995e+02
6.000000e-01	8.000000e-01	8.598500e+04	6.556867e+02	6.556867e+02
8.000000e-01	1.000000e+00	4.585500e+04	4.788267e+02	4.788267e+02
1.000000e+00	1.200000e+00	2.642500e+04	3.634900e+02	3.634900e+02
1.200000e+00	1.400000e+00	1.608000e+04	2.835489e+02	2.835489e+02
1.400000e+00	1.600000e+00	1.044500e+04	2.285279e+02	2.285279e+02
1.600000e+00	1.800000e+00	7.000000e+03	1.870829e+02	1.870829e+02
1.800000e+00	2.000000e+00	4.825000e+03	1.553222e+02	1.553222e+02
2.000000e+00	2.200000e+00	3.215000e+03	1.267872e+02	1.267872e+02
2.200000e+00	2.400000e+00	2.230000e+03	1.055936e+02	1.055936e+02
2.400000e+00	2.600000e+00	1.590000e+03	8.916277e+01	8.916277e+01
2.600000e+00	2.800000e+00	1.285000e+03	8.015610e+01	8.015610e+01
2.800000e+00	3.000000e+00	8.250000e+02	6.422616e+01	6.422616e+01
3.000000e+00	3.200000e+00	6.000000e+02	5.477226e+01	5.477226e+01
3.200000e+00	3.400000e+00	4.950000e+02	4.974937e+01	4.974937e+01
3.400000e+00	3.600000e+00	3.200000e+02	4.000000e+01	4.000000e+01
3.600000e+00	3.800000e+00	2.800000e+02	3.741657e+01	3.741657e+01
3.800000e+00	4.000000e+00	3.200000e+02	4.000000e+01	4.000000e+01
4.000000e+00	4.200000e+00	2.250000e+02	3.354102e+01	3.354102e+01
4.200000e+00	4.400000e+00	1.250000e+02	2.500000e+01	2.500000e+01
4.400000e+00	4.600000e+00	1.150000e+02	2.397916e+01	2.397916e+01
4.600000e+00	4.800000e+00	8.500000e+01	2.061553e+01	2.061553e+01
4.800000e+00	5.000000e+00	8.500000e+01	2.061553e+01	2.061553e+01
5.000000e+00	5.200000e+00	4.500000e+01	1.500000e+01	1.500000e+01
5.200000e+00	5.400000e+00	5.000000e+01	1.581139e+01	1.581139e+01
5.400000e+00	5.600000e+00	3.500000e+01	1.322876e+01	1.322876e+01
5.600000e+00	5.800000e+00	3.000000e+01	1.224745e+01	1.224745e+01
5.800000e+00	6.000000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.000000e+00	6.200000e+00	4.000000e+01	1.414214e+01	1.414214e+01
6.200000e+00	6.400000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.400000e+00	6.600000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.600000e+00	6.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.800000e+00	7.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
7.000000e+00	7.200000e+00	5.000000e+00	5.000000e+00	5.000000e+00
7.200000e+00	7.400000e+00	1.000000e+01	7.071068e+00	7.071068e+00
7.400000e+00	7.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
7.600000e+00	7.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.000000e+00	9.200000e+00	1.500000e+01	8.660254e+00	8.660254e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
9.600000e+00	9.800000e+00	5.000000e+00	5.000000e+00	5.000000e+00
9.800000e+00	1.000000e+01	5.000000e+00	5.000000e+00	5.000000e+00
# END HISTOGRAM

