# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
RatioPlot=1
Legend=1
XLabel=$d(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.807245e+07	3.746495e+04	3.746495e+04
2.000000e-02	4.000000e-02	5.534450e+06	1.663498e+04	1.663498e+04
4.000000e-02	6.000000e-02	3.678650e+06	1.356217e+04	1.356217e+04
6.000000e-02	8.000000e-02	2.655250e+06	1.152226e+04	1.152226e+04
8.000000e-02	1.000000e-01	2.034850e+06	1.008675e+04	1.008675e+04
1.000000e-01	1.200000e-01	1.569550e+06	8.858753e+03	8.858753e+03
1.200000e-01	1.400000e-01	1.271500e+06	7.973393e+03	7.973393e+03
1.400000e-01	1.600000e-01	1.044750e+06	7.227551e+03	7.227551e+03
1.600000e-01	1.800000e-01	8.639500e+05	6.572481e+03	6.572481e+03
1.800000e-01	2.000000e-01	7.220500e+05	6.008536e+03	6.008536e+03
2.000000e-01	2.200000e-01	6.094000e+05	5.519964e+03	5.519964e+03
2.200000e-01	2.400000e-01	5.233500e+05	5.115418e+03	5.115418e+03
2.400000e-01	2.600000e-01	4.589500e+05	4.790355e+03	4.790355e+03
2.600000e-01	2.800000e-01	3.930500e+05	4.433114e+03	4.433114e+03
2.800000e-01	3.000000e-01	3.470500e+05	4.165633e+03	4.165633e+03
3.000000e-01	3.200000e-01	3.032000e+05	3.893584e+03	3.893584e+03
3.200000e-01	3.400000e-01	2.691000e+05	3.668106e+03	3.668106e+03
3.400000e-01	3.600000e-01	2.466500e+05	3.511766e+03	3.511766e+03
3.600000e-01	3.800000e-01	2.211000e+05	3.324906e+03	3.324906e+03
3.800000e-01	4.000000e-01	1.974500e+05	3.142053e+03	3.142053e+03
4.000000e-01	4.200000e-01	1.757500e+05	2.964372e+03	2.964372e+03
4.200000e-01	4.400000e-01	1.579000e+05	2.809804e+03	2.809804e+03
4.400000e-01	4.600000e-01	1.385500e+05	2.632014e+03	2.632014e+03
4.600000e-01	4.800000e-01	1.311000e+05	2.560273e+03	2.560273e+03
4.800000e-01	5.000000e-01	1.210500e+05	2.460183e+03	2.460183e+03
5.000000e-01	5.200000e-01	1.115500e+05	2.361673e+03	2.361673e+03
5.200000e-01	5.400000e-01	9.835000e+04	2.217544e+03	2.217544e+03
5.400000e-01	5.600000e-01	9.420000e+04	2.170253e+03	2.170253e+03
5.600000e-01	5.800000e-01	8.725000e+04	2.088660e+03	2.088660e+03
