# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
RatioPlot=1
Legend=1
XLabel=$d(Sec.\;Vertex,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.052000e+03	5.524491e+01	5.524491e+01
1.000000e+00	2.000000e+00	1.519000e+03	3.897435e+01	3.897435e+01
2.000000e+00	3.000000e+00	1.391000e+03	3.729611e+01	3.729611e+01
3.000000e+00	4.000000e+00	1.228000e+03	3.504283e+01	3.504283e+01
4.000000e+00	5.000000e+00	1.108000e+03	3.328663e+01	3.328663e+01
5.000000e+00	6.000000e+00	9.960000e+02	3.155947e+01	3.155947e+01
6.000000e+00	7.000000e+00	8.850000e+02	2.974895e+01	2.974895e+01
7.000000e+00	8.000000e+00	8.740000e+02	2.956349e+01	2.956349e+01
8.000000e+00	9.000000e+00	8.190000e+02	2.861818e+01	2.861818e+01
9.000000e+00	1.000000e+01	7.400000e+02	2.720294e+01	2.720294e+01
1.000000e+01	1.100000e+01	6.580000e+02	2.565151e+01	2.565151e+01
1.100000e+01	1.200000e+01	6.940000e+02	2.634388e+01	2.634388e+01
1.200000e+01	1.300000e+01	6.530000e+02	2.555386e+01	2.555386e+01
1.300000e+01	1.400000e+01	6.180000e+02	2.485961e+01	2.485961e+01
1.400000e+01	1.500000e+01	6.230000e+02	2.495997e+01	2.495997e+01
1.500000e+01	1.600000e+01	5.640000e+02	2.374868e+01	2.374868e+01
1.600000e+01	1.700000e+01	5.120000e+02	2.262742e+01	2.262742e+01
1.700000e+01	1.800000e+01	5.110000e+02	2.260531e+01	2.260531e+01
1.800000e+01	1.900000e+01	4.920000e+02	2.218107e+01	2.218107e+01
1.900000e+01	2.000000e+01	5.070000e+02	2.251666e+01	2.251666e+01
2.000000e+01	2.100000e+01	5.020000e+02	2.240536e+01	2.240536e+01
2.100000e+01	2.200000e+01	4.670000e+02	2.161018e+01	2.161018e+01
2.200000e+01	2.300000e+01	4.320000e+02	2.078461e+01	2.078461e+01
2.300000e+01	2.400000e+01	3.800000e+02	1.949359e+01	1.949359e+01
2.400000e+01	2.500000e+01	3.600000e+02	1.897367e+01	1.897367e+01
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	7.421000e+03	8.614523e+01	8.614523e+01
1.000000e+00	2.000000e+00	3.937000e+03	6.274552e+01	6.274552e+01
2.000000e+00	3.000000e+00	3.232000e+03	5.685068e+01	5.685068e+01
