# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
RatioPlot=1
Legend=1
XLabel=$d(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.429262e+08	1.102103e+05	1.102103e+05
2.000000e-02	4.000000e-02	9.353550e+06	2.162585e+04	2.162585e+04
4.000000e-02	6.000000e-02	5.924150e+06	1.721068e+04	1.721068e+04
6.000000e-02	8.000000e-02	4.190450e+06	1.447489e+04	1.447489e+04
8.000000e-02	1.000000e-01	3.181000e+06	1.261150e+04	1.261150e+04
1.000000e-01	1.200000e-01	2.459150e+06	1.108862e+04	1.108862e+04
1.200000e-01	1.400000e-01	1.981300e+06	9.953140e+03	9.953140e+03
1.400000e-01	1.600000e-01	1.641100e+06	9.058421e+03	9.058421e+03
1.600000e-01	1.800000e-01	1.366100e+06	8.264684e+03	8.264684e+03
1.800000e-01	2.000000e-01	1.151650e+06	7.588313e+03	7.588313e+03
2.000000e-01	2.200000e-01	9.977000e+05	7.062931e+03	7.062931e+03
2.200000e-01	2.400000e-01	8.724000e+05	6.604544e+03	6.604544e+03
2.400000e-01	2.600000e-01	7.734000e+05	6.218521e+03	6.218521e+03
2.600000e-01	2.800000e-01	6.827500e+05	5.842731e+03	5.842731e+03
2.800000e-01	3.000000e-01	6.101000e+05	5.523133e+03	5.523133e+03
3.000000e-01	3.200000e-01	5.498500e+05	5.243329e+03	5.243329e+03
3.200000e-01	3.400000e-01	4.956500e+05	4.978202e+03	4.978202e+03
3.400000e-01	3.600000e-01	4.627500e+05	4.810146e+03	4.810146e+03
3.600000e-01	3.800000e-01	4.287000e+05	4.629795e+03	4.629795e+03
3.800000e-01	4.000000e-01	3.851000e+05	4.388052e+03	4.388052e+03
4.000000e-01	4.200000e-01	3.616000e+05	4.252058e+03	4.252058e+03
4.200000e-01	4.400000e-01	3.275500e+05	4.046912e+03	4.046912e+03
4.400000e-01	4.600000e-01	3.067000e+05	3.915993e+03	3.915993e+03
4.600000e-01	4.800000e-01	2.885000e+05	3.798026e+03	3.798026e+03
