# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets
RatioPlot=1
Legend=1
XLabel=$d(PV,PCA(CP,Jet))$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	3.599255e+05	4.242202e+02	4.242202e+02
2.000000e+00	4.000000e+00	3.852000e+04	1.387804e+02	1.387804e+02
4.000000e+00	6.000000e+00	2.276150e+04	1.066806e+02	1.066806e+02
6.000000e+00	8.000000e+00	1.480100e+04	8.602616e+01	8.602616e+01
8.000000e+00	1.000000e+01	1.042650e+04	7.220284e+01	7.220284e+01
1.000000e+01	1.200000e+01	7.550500e+03	6.144306e+01	6.144306e+01
1.200000e+01	1.400000e+01	5.713500e+03	5.344857e+01	5.344857e+01
1.400000e+01	1.600000e+01	4.400500e+03	4.690682e+01	4.690682e+01
1.600000e+01	1.800000e+01	3.500500e+03	4.183599e+01	4.183599e+01
1.800000e+01	2.000000e+01	2.884000e+03	3.797368e+01	3.797368e+01
2.000000e+01	2.200000e+01	2.256000e+03	3.358571e+01	3.358571e+01
2.200000e+01	2.400000e+01	1.949000e+03	3.121698e+01	3.121698e+01
2.400000e+01	2.600000e+01	1.617000e+03	2.843413e+01	2.843413e+01
2.600000e+01	2.800000e+01	1.417000e+03	2.661766e+01	2.661766e+01
2.800000e+01	3.000000e+01	1.196000e+03	2.445404e+01	2.445404e+01
3.000000e+01	3.200000e+01	1.022000e+03	2.260531e+01	2.260531e+01
3.200000e+01	3.400000e+01	8.535000e+02	2.065793e+01	2.065793e+01
3.400000e+01	3.600000e+01	7.705000e+02	1.962779e+01	1.962779e+01
3.600000e+01	3.800000e+01	6.685000e+02	1.828251e+01	1.828251e+01
3.800000e+01	4.000000e+01	6.225000e+02	1.764228e+01	1.764228e+01
4.000000e+01	4.200000e+01	5.460000e+02	1.652271e+01	1.652271e+01
4.200000e+01	4.400000e+01	5.125000e+02	1.600781e+01	1.600781e+01
4.400000e+01	4.600000e+01	4.890000e+02	1.563650e+01	1.563650e+01
4.600000e+01	4.800000e+01	4.040000e+02	1.421267e+01	1.421267e+01
